_*0 0:00 |the georgia association of the deaf hosted its first ever| 8LCX_1ayqzA
_*25261 200:48 |the convener : professor dunbar , you are well aware of the process that was undertaken when| nAsFZ0Vejzc
_*25262 200:55 |we considered the gaelic language ( scotland ) bill and implemented it as an act . from your| nAsFZ0Vejzc
_*25263 201:00 |experience , will you give us some background knowledge on how plans were introduced , on| nAsFZ0Vejzc
_*25264 201:09 |whether the development of those plans was a particularly onerous process for the bodies| nAsFZ0Vejzc
_*25265 201:14 |that had to produce them and on ministerial responsibility and national advisory boards ,| nAsFZ0Vejzc
_*25266 201:24 |which we have just discussed ?| nAsFZ0Vejzc
_*25267 201:28 |professor dunbar : perhaps i should start with the ministerial responsibility for the language .| nAsFZ0Vejzc
_*25268 201:57 |it is important that someone in the government has ministerial responsibility for that .| nAsFZ0Vejzc
_*25269 202:09 |the gaelic community has been very fortunate with the ministers that it has had . alasdair| nAsFZ0Vejzc
_*25270 202:19 |allan is very familiar with the language and the issues concerning the wishes and needs| nAsFZ0Vejzc
_*25271 202:29 |of speakers of gaelic and other languages . what he has learned about policy and putting| nAsFZ0Vejzc
_*25272 202:38 |policy into effect for gaelic would be useful in relation to policy for other languages .| nAsFZ0Vejzc
_*25273 202:48 |it has been important to gaelic to have a minister with specific responsibility for| nAsFZ0Vejzc
_*25274 203:01 |gaelic matters .| nAsFZ0Vejzc
_*25275 203:16 |in addition to asking them to prepare plans , the board gives advice and support to public| nAsFZ0Vejzc
_*25276 203:25 |bodies , which is important . since there will not be a board or an equivalent body under| nAsFZ0Vejzc
_*25277 203:36 |the bill , the government should think about how it will consult and keep in touch with| nAsFZ0Vejzc
_*25278 203:48 |people on advice and guidance .| nAsFZ0Vejzc
_*25279 204:06 |bodies expressed have been much reduced by the knowledge of the process that they now| nAsFZ0Vejzc
_*25280 204:13 |have as a consequence of the support that they get from the government and the board .| nAsFZ0Vejzc
_*25281 204:21 |a system of advice and guidance to public bodies is important in reducing some of the| nAsFZ0Vejzc
_*25282 204:30 |doubts that they might have and some of the difficulties that they might envisage with| nAsFZ0Vejzc
_*25283 204:37 |those responsibilities .| nAsFZ0Vejzc
_*25284 204:47 |has suggested that the bsl national advisory group could undertake collective consultation| nAsFZ0Vejzc
_*25285 204:51 |on authority plans for a number of reasons , not least because the government is slightly| nAsFZ0Vejzc
_*25286 204:57 |concerned about the pressure on individuals and groups to provide advice and to review| nAsFZ0Vejzc
_*25287 205:07 |professor turner : are you asking us to respond to the suggestion of statements as opposed| nAsFZ0Vejzc
_*25288 205:14 |professor turner : as i have indicated , a spirit of consultation is abroad in the country as| nAsFZ0Vejzc
_*25289 205:30 |the country is very proud of that . it values the spirit of consultation and we are looking| nAsFZ0Vejzc
_*25290 205:37 |to develop that .| nAsFZ0Vejzc
_*25291 205:39 |the key point to add is that we all enter the process looking for a long-term response| nAsFZ0Vejzc
_*25292 205:54 |to show that attempts to do so have been unsuccessful , one way or another . there is an incremental| nAsFZ0Vejzc
_*25293 206:01 |process of continuous improvement , and the community is keen to engage and participate| nAsFZ0Vejzc
_*25294 206:10 |in that process .| nAsFZ0Vejzc
_*25295 206:11 |it is perhaps key to bear it in mind that the current position is contrary to some of| nAsFZ0Vejzc
_*25296 206:16 |the evidence that we have heard today . i invite committee members to review the evidence that| nAsFZ0Vejzc
_*25297 206:21 |has been submitted and ask whether they find many instances where deaf people describe| nAsFZ0Vejzc
_*25298 206:36 |services are out there . do deaf people tell members that the services are exemplary ? i| nAsFZ0Vejzc
_*25299 206:40 |do not think that they do that often . the community is looking for a process of continuous| nAsFZ0Vejzc
_*25300 206:47 |improvement ; it enters into that willingly and in a spirit of partnership .| nAsFZ0Vejzc
_*25301 206:52 |the convener : what you say about exemplary services might be true , but my experience| nAsFZ0Vejzc
_*25302 206:57 |is that , across the board , not many people come to me as an msp to talk about exemplary| nAsFZ0Vejzc
_*25303 207:02 |services . it might not be the case that we hear about that end of the spectrum .| nAsFZ0Vejzc
_*25304 207:12 |there be advantages in moving to a five or seven-year cycle for the national plan as| nAsFZ0Vejzc
_*25305 207:17 |opposed to the timeframe that is laid out in the bill ?| nAsFZ0Vejzc
_*25306 207:27 |professor dunbar : public bodies that are under an obligation to provide a gaelic language| nAsFZ0Vejzc
_*25307 207:36 |plan renew their plans every five years . that is reasonable . it takes a bit of time to devise| nAsFZ0Vejzc
_*25308 207:48 |a plan and put it into effect . it is important to allow public bodies sufficient time to| nAsFZ0Vejzc
_*25309 207:57 |do that , especially because language development is a complicated matter . it is not easy to| nAsFZ0Vejzc
_*25310 208:08 |put plans into effect quickly , especially when it comes to training and education .| nAsFZ0Vejzc
_*25311 208:22 |at the same time , if the period allowed is too long , people are likely to leave things| nAsFZ0Vejzc
_*25312 208:36 |undone for some time . that is the danger in having a cycle that is too long . five years| nAsFZ0Vejzc
_*25313 208:48 |is a reasonable period . it gives bodies sufficient time to put their plans into effect and to| nAsFZ0Vejzc
_*25314 208:59 |review what they have done . the review is important because the bodies must know whether| nAsFZ0Vejzc
_*25315 209:04 |what they are doing under their plans is succeeding . some things might be successful ; other things| nAsFZ0Vejzc
_*25316 209:11 |might not be as successful . it is quite difficult to discover that if the period is too short .| nAsFZ0Vejzc
_*25317 209:19 |it is a good idea to give bodies sufficient time before the next cycle starts .| nAsFZ0Vejzc
_*25318 209:37 |we have been sidelined and marginalised for too long and have not been involved in the| nAsFZ0Vejzc
_*25319 209:43 |process for parliamentary and council issues and so on .| nAsFZ0Vejzc
_*25320 209:48 |we need to give deaf people time to make the adjustment in their own mindset , which is| nAsFZ0Vejzc
_*25321 209:52 |a cultural or attitudinal change , so perhaps extending the time would be beneficial . perhaps| nAsFZ0Vejzc
_*25322 209:59 |there could be a phased approach rather than one that rushed things through , which could| nAsFZ0Vejzc
_*25323 210:06 |lead to the whole process breaking down . i recommend taking a more measured approach .| nAsFZ0Vejzc
_*25324 210:15 |whether five or seven years would be an appropriate timeframe , although the gaelic experience| nAsFZ0Vejzc
_*25325 210:22 |is perhaps informative and instructive . five years is quite a long time , especially in| nAsFZ0Vejzc
_*25326 210:39 |expressed .| nAsFZ0Vejzc
_*25327 210:40 |because there is existing legislation , we are not having to start from the ground up .| nAsFZ0Vejzc
_*25328 210:55 |because our access to core services such as the police and the health service is sporadic| nAsFZ0Vejzc
_*25329 211:12 |in some areas , i imagine that changes in education would take much longer than changes in face-to-face| nAsFZ0Vejzc
_*25330 211:19 |social services at a local level , for example . the issue is what is workable , and the deaf| nAsFZ0Vejzc
_*25331 211:24 |community is prepared to work with you and to see the process not as a black and white| nAsFZ0Vejzc
_*25332 211:29 |issue but as a more complex one with a lot more grey in it that needs to be discussed .| nAsFZ0Vejzc
_*25333 211:39 |but it is now the afternoon . thank you very much for your time and your evidence . we will| nAsFZ0Vejzc
_*25334 211:50 |we will consider the bill next on 17 march , when we will take evidence from the scottish| nAsFZ0Vejzc
_*25335 211:58 |government and from the member in charge of the bill , mark griffin .| nAsFZ0Vejzc
_*25336 0:01 |hi and patrick i work for the irs| jF0SwgNVEDY
_*25337 0:04 |do you need to know your outstanding balance| jF0SwgNVEDY
_*25338 0:10 |so you can make a payment to the irs here 's what you need to do| jF0SwgNVEDY
_*25339 0:15 |if you do n't remember how much you owe| jF0SwgNVEDY
_*25340 0:19 |call the phone number on your bill our notice| jF0SwgNVEDY
_*25341 0:25 |or call the irs 800| jF0SwgNVEDY
_*25342 0:28 |tax 1040 through relay service| jF0SwgNVEDY
_*25343 0:32 |that 's| jF0SwgNVEDY
_*25344 0:36 |800 829 10 40| jF0SwgNVEDY
_*25345 0:42 |if you| jF0SwgNVEDY
_*25346 0:43 |filed a return we can tell you how much you| jF0SwgNVEDY
_*25347 0:46 |0 and for which tax years the original amount owed| jF0SwgNVEDY
_*25348 0:51 |the amount of penalties and interest| jF0SwgNVEDY
_*25349 0:54 |and any payments that have been credited to your account| jF0SwgNVEDY
_*25350 1:00 |if you need to make a payment or want to learn about payment options| jF0SwgNVEDY
_*25351 1:04 |go to irs .co slash| jF0SwgNVEDY
_*25352 1:07 pay jF0SwgNVEDY
_*25353 1:11 of jF0SwgNVEDY
_*25354 0:01 |hi everyone , this is river !| uA0trUXykZk
_*25355 0:07 |getting really excited !| uA0trUXykZk
_*25356 0:08 |going to be heading out in a couple days .| uA0trUXykZk
_*25357 0:11 |on may , um , march , may ! ! ! 15th .| uA0trUXykZk
_*25358 0:16 |for colorado .| uA0trUXykZk
_*25359 0:19 |this ... video has started all wrong ... . !| uA0trUXykZk
_*25360 0:24 |hi everyone , i 'm river !| uA0trUXykZk
_*25361 0:27 |i 've had champagne !| uA0trUXykZk
_*25362 0:27 |i 've had champagne !| uA0trUXykZk
_*25363 0:29 |i 've had ch.. cham ... champagne .| uA0trUXykZk
_*25364 0:30 |i 've had ch ... cham.. champagne .| uA0trUXykZk
_*25365 0:33 |i 'm going to be heading out ,| uA0trUXykZk
_*25366 0:36 |in my 5th wheel , named serenity .| uA0trUXykZk
_*25367 0:38 |on may 15th , from california to colorado .| uA0trUXykZk
_*25368 0:38 |on may 15th , from california to colorado .| uA0trUXykZk
_*25369 0:42 |i bought it in october , drove from louisiana to california .| uA0trUXykZk
_*25370 0:48 |i put alot of cool things in my blog , things i 'd seen and photos .| uA0trUXykZk
_*25371 0:52 |that link is to your left if you care to take a look .| uA0trUXykZk
_*25372 0:54 |it 's on wordpress as sixpaws| uA0trUXykZk
_*25373 0:58 |this time i 'm going to be traveling alone .| uA0trUXykZk
_*25374 1:00 |on the way out i was with someone else , in a caravan .| uA0trUXykZk
_*25375 1:06 |so it was n't quite as scary .| uA0trUXykZk
_*25376 1:09 |this time it 's going to be pretty scary for me .| uA0trUXykZk
_*25377 1:11 |i 'm excited but i 'm also terrified .| uA0trUXykZk
_*25378 1:14 |be heading out from orange , california to colorado .| uA0trUXykZk
_*25379 1:21 |it 'll take me about 19 days to get there ,| uA0trUXykZk
_*25380 1:22 |because of all the things i want to see and do .| uA0trUXykZk
_*25381 1:26 |i 'm learning asl .| uA0trUXykZk
_*25382 1:29 |those of you who know it , or who are learning ,| uA0trUXykZk
_*25383 1:31 |please help me !| uA0trUXykZk
_*25384 1:33 |please tell me if i 'm doing something wrong or too formal .| uA0trUXykZk
_*25385 1:40 |i think i learned how to say hello .| uA0trUXykZk
_*25386 1:51 |no ! this is y this is not what i meant to say .| uA0trUXykZk
_*25387 1:51 |no ! this is y this is not what i meant to say .| uA0trUXykZk
_*25388 1:53 |this is what i wanted to say !| uA0trUXykZk
_*25389 1:55 |this is what i did , this is what i wanted .| uA0trUXykZk
_*25390 1:58 |i 've had champagne| uA0trUXykZk
_*25391 2:01 |i have an excuse !| uA0trUXykZk
_*25392 0:06 |... music synth ( pantomime )| zlxPp0vAniY
_*25393 0:22 |you would not believe your eyes amazing ! see| zlxPp0vAniY
_*25394 0:25 |if ten million fireflies ten million light flies| zlxPp0vAniY
_*25395 0:27 |lit up the world as i fell asleep i sleep , world light-up| zlxPp0vAniY
_*25396 0:33 |'cause they 'd fill the open air flies [ numerous ]| zlxPp0vAniY
_*25397 0:35 |and leave teardrops everywhere tear drops [ all-around ]| zlxPp0vAniY
_*25398 0:37 |you 'd think me rude i maybe rude| zlxPp0vAniY
_*25399 0:38 |but i would just stand and stare i stand , look-around| zlxPp0vAniY
_*25400 0:43 |i 'd like to make myself believe i really want believe| zlxPp0vAniY
_*25401 0:48 |that planet earth turns slowly world rotate slow| zlxPp0vAniY
_*25402 0:53 |it 's hard to say that i 'd rather stay i prefer sleep , dream ,| zlxPp0vAniY
_*25403 0:56 |awake when i 'm asleep not awake| zlxPp0vAniY
_*25404 0:58 |'cause everything is never as it seems why ? variety| zlxPp0vAniY
_*25405 1:05 |'cause i 'd get a thousand hugs i receive many hug| zlxPp0vAniY
_*25406 1:07 |from ten thousand lightning bugs from ten thousand light flies| zlxPp0vAniY
_*25407 1:10 |as they tried to teach me how to dance they teach-me how dance| zlxPp0vAniY
_*25408 1:15 |a foxtrot above my head [ dancing above ]| zlxPp0vAniY
_*25409 1:18 |a sock hop beneath my bed bed [ dancing below ]| zlxPp0vAniY
_*25410 1:20 |a disco ball is just hanging by a thread light ball [ hang thin line ]| zlxPp0vAniY
_*25411 1:26 |i 'd like to make myself believe i really want believe| zlxPp0vAniY
_*25412 1:30 |that planet earth turns slowly world rotate slow| zlxPp0vAniY
_*25413 1:36 |it 's hard to say that i 'd rather stay i prefer sleep , dream ,| zlxPp0vAniY
_*25414 1:39 |awake when i 'm asleep not awake| zlxPp0vAniY
_*25415 1:41 |'cause everything is never as it seems why ? variety| zlxPp0vAniY
_*25416 1:46 |( when i fall asleep )| zlxPp0vAniY
_*25417 1:50 |leave my door open just a crack my door [ open slightly ]| zlxPp0vAniY
_*25418 1:53 |( please take me away from here )| zlxPp0vAniY
_*25419 1:55 |'cause i feel like such an insomniac i feel restless| zlxPp0vAniY
_*25420 1:58 |( please take me away from here )| zlxPp0vAniY
_*25421 2:01 |why do i tire of counting sheep sheep count 1-2-3 boring| zlxPp0vAniY
_*25422 2:04 |( please take me away from here )| zlxPp0vAniY
_*25423 2:06 |when i 'm far too tired to fall asleep i tired excessive , cant sleep| zlxPp0vAniY
_*25424 2:11 |to ten million fireflies ten million light flies| zlxPp0vAniY
_*25425 2:14 |i 'm weird 'cause i hate goodbyes [ look-at-me ] think he weird| zlxPp0vAniY
_*25426 2:16 |i got misty eyes as they said farewell why ? they leave , i cry| zlxPp0vAniY
_*25427 2:22 |but i 'll know where several are but if my dreams strange| zlxPp0vAniY
_*25428 2:24 |if my dreams get real bizarre i can find several| zlxPp0vAniY
_*25429 2:27 |'cause i saved a few and i keep them in a jar { jar } i catch , keep| zlxPp0vAniY
_*25430 2:32 |i 'd like to make myself believe i really want believe| zlxPp0vAniY
_*25431 2:36 |that planet earth turns slowly world rotate slow| zlxPp0vAniY
_*25432 2:43 |it 's hard to say that i 'd rather stay i prefer sleep , dream ,| zlxPp0vAniY
_*25433 2:46 |awake when i 'm asleep not awake| zlxPp0vAniY
_*25434 2:48 |'cause everything is never as it seems why ? variety| zlxPp0vAniY
_*25435 2:54 |i 'd like to make myself believe i really want believe| zlxPp0vAniY
_*25436 2:58 |that planet earth turns slowly world rotate slow| zlxPp0vAniY
_*25437 3:04 |it 's hard to say that i 'd rather stay i prefer sleep , dream ,| zlxPp0vAniY
_*25438 3:07 |awake when i 'm asleep not awake| zlxPp0vAniY
_*25439 3:10 |'cause everything is never as it seems why ? variety| zlxPp0vAniY
_*25440 3:15 |i 'd like to make myself believe i really want believe| zlxPp0vAniY
_*25441 3:19 |that planet earth turns slowly world rotate slow| zlxPp0vAniY
_*25442 3:25 |it 's hard to say that i 'd rather stay i prefer sleep , dream ,| zlxPp0vAniY
_*25443 3:29 |awake when i 'm asleep not awake| zlxPp0vAniY
_*25444 3:30 |because my dreams are bursting at the seams my dreams [ bursting through ]| zlxPp0vAniY
_*25445 0:05 your j1GUwRjOEfQ
_*25446 0:06 |did you know that the official irs website| j1GUwRjOEfQ
_*25447 0:09 |has everything you need to file your taxes| j1GUwRjOEfQ
_*25448 0:13 |it does you can download forms| j1GUwRjOEfQ
_*25449 0:17 |you file your taxes for free you can even check| j1GUwRjOEfQ
_*25450 0:21 |on your refund and much much more| j1GUwRjOEfQ
_*25451 0:27 |we even have answers to those financial what if| j1GUwRjOEfQ
_*25452 0:31 |questions that has surfaced during| j1GUwRjOEfQ
_*25453 0:34 |the stuff economic times our official website is| j1GUwRjOEfQ
_*25454 0:39 |i rs not gulf and the dot| j1GUwRjOEfQ
_*25455 0:42 |gulf part is important sites inning with| j1GUwRjOEfQ
_*25456 0:46 |dot com got or are dotnet| j1GUwRjOEfQ
_*25457 0:50 |are n't hours so check us out at| j1GUwRjOEfQ
_*25458 0:54 |www dot irs dot cup| j1GUwRjOEfQ
_*25459 0:28 |hi everyone ! this is benny lewis from ireland - sign name [ benny ]| UCotgGSjxEk
_*25460 0:45 |when in washington dc , i visited gallaudet university .| UCotgGSjxEk
_*25461 0:55 |this university focuses on educating the deaf and hard of hearing ,| UCotgGSjxEk
_*25462 1:00 |classes are given in american sign language , as well as some in english .| UCotgGSjxEk
_*25463 1:11 |when in gallaudet , i met up with many deaf people .| UCotgGSjxEk
_*25464 1:21 |my asl is pretty weak , but i used it to interview those here to learn about deaf culture| UCotgGSjxEk
_*25465 1:39 |they also shared the history of the university with me . here it is !| UCotgGSjxEk
_*25466 2:07 |so you work in the university ? can you tell us about the history --| UCotgGSjxEk
_*25467 2:32 |gallaudet was founded in 1864 . 100 before i was born , 1964 .| UCotgGSjxEk
_*25468 2:39 |so abraham lincoln signed the charter that set up this school .| UCotgGSjxEk
_*25469 2:50 |it started with a small group of deaf students .| UCotgGSjxEk
_*25470 3:01 |i think many people live ( their lives ) in asl .| UCotgGSjxEk
_*25471 3:09 |at the restaurant , people eat and sign together . gallaudet is like a deaf city !| UCotgGSjxEk
_*25472 3:25 |yes , we have a word for that . sometimes we call gallaudet the deaf mecca .| UCotgGSjxEk
_*25473 3:30 |you know , where all the muslims go to pray ?| UCotgGSjxEk
_*25474 3:43 |how is deaf culture different here ?| UCotgGSjxEk
_*25475 4:00 |the policemen sign , the doctor signs , the teachers sign , everyone signs .| UCotgGSjxEk
_*25476 4:24 |i saw in this o-f-f-i-c-e| UCotgGSjxEk
_*25477 4:31 |office .| UCotgGSjxEk
_*25478 4:32 b-e-l-l UCotgGSjxEk
_*25479 4:36 |bell . yeah , with the light .| UCotgGSjxEk
_*25480 4:54 |yes , the lights are part of our culture .| UCotgGSjxEk
_*25481 5:11 |gallaudet is the only deaf university in the world . the only one .| UCotgGSjxEk
_*25482 5:17 |rit , rochester institute of technology , in new york ,| UCotgGSjxEk
_*25483 5:21 |is a hearing school which has a subdivision called ntid , national technical institute for the deaf .| UCotgGSjxEk
_*25484 5:38 |what about the students ?| UCotgGSjxEk
_*25485 5:42 |the hearing students ? undergraduate students need to know asl before they come .| UCotgGSjxEk
_*25486 5:59 |thank you ! thank you for your time .| UCotgGSjxEk
_*25487 6:02 |any time . nice to meet you . take care .| UCotgGSjxEk
_*25488 6:06 |what is your name ?| UCotgGSjxEk
_*25489 6:15 ok UCotgGSjxEk
_*25490 6:17 |because our students come from different cultural backgrounds , they use different languages , different sign languages .| UCotgGSjxEk
_*25491 6:25 |then they arrive here and learn a third language , which is asl .| UCotgGSjxEk
_*25492 6:30 |and then they learn a fourth language , which is english . wow .| UCotgGSjxEk
_*25493 6:36 |but our students are highly motivated . they work hard to succeed .| UCotgGSjxEk
_*25494 6:46 |my name is julianna . sign name [ julianna ] . nice to meet you all .| UCotgGSjxEk
_*25495 7:00 |american sign language is not the same sign language around the world| UCotgGSjxEk
_*25496 7:31 |since you are from ireland , right ?| UCotgGSjxEk
_*25497 7:55 |the community ? the irish sign language community is small ? not many people ?| UCotgGSjxEk
_*25498 8:19 |so this is another language to learn when in america . oh , i see .| UCotgGSjxEk
_*25499 8:23 |i also like deaf culture . deaf people ask questions very d-i-r-e-c-t .| UCotgGSjxEk
_*25500 9:00 |oh , did you know , in deaf culture , if you meet someone , say a friend ,| UCotgGSjxEk
_*25501 9:26 |right .| UCotgGSjxEk
_*25502 9:36 |turtle !| UCotgGSjxEk
_*25503 9:38 |bird . i know these . many words are not visual . when , what , etc .| UCotgGSjxEk
_*25504 9:56 |yes , asl has both . visual signs like turtle where you can see the head peeking out from under the shell ,| UCotgGSjxEk
_*25505 10:52 |my favorite sign is bad .| UCotgGSjxEk
_*25506 10:58 |sorry .| UCotgGSjxEk
_*25507 11:02 c-u-r-s-e UCotgGSjxEk
_*25508 11:04 curse UCotgGSjxEk
_*25509 11:06 |you want to see ?| UCotgGSjxEk
_*25510 11:12 |bullshit .| UCotgGSjxEk
_*25511 11:13 |good one .| UCotgGSjxEk
_*25512 11:15 |sorry .| UCotgGSjxEk
_*25513 11:33 |my favorite sign is awkward , because it is so visually appropriate to the meaning .| UCotgGSjxEk
_*25514 11:43 |you know what it means , awkward ? a person who is not very skilled socially or is clumsy .| UCotgGSjxEk
_*25515 13:02 |do people ask you about that ?| UCotgGSjxEk
_*25516 13:06 |asl , for me , is a better language than english .| UCotgGSjxEk
_*25517 13:19 |haha ! i agree . i agree . really , there are some things i can only express in asl .| UCotgGSjxEk
_*25518 13:35 |how do deaf people use the phone ? the videophone ! i dial a number with this remote .| UCotgGSjxEk
_*25519 14:01 |victoria . this is my sign name .| UCotgGSjxEk
_*25520 14:06 |you are a student here .| UCotgGSjxEk
_*25521 14:10 |yes , i have been a student at gallaudet university for a while -- -| UCotgGSjxEk
_*25522 14:15 |i started school again recently last fall . i am majoring in english and theatre .| UCotgGSjxEk
_*25523 14:53 |i agree .| UCotgGSjxEk
_*25524 14:54 |i want to come back to gallaudet later to improve my asl and meet many more signers .| UCotgGSjxEk
_*25525 15:09 |thank you .| UCotgGSjxEk
_*25526 15:15 |again ?| UCotgGSjxEk
_*25527 15:19 |thank you . bye !| UCotgGSjxEk
_*25528 0:07 |ok , students today we are going to have a pop quiz .| 7Roa3aKnFoE
_*25529 0:11 awww 7Roa3aKnFoE
_*25530 0:13 |worried much ?| 7Roa3aKnFoE
_*25531 0:14 |look me in my face . i ai n't got no worries . i ai n't got no worries .| 7Roa3aKnFoE
_*25532 0:21 |all righty then good luck everyone .| 7Roa3aKnFoE
_*25533 0:31 |kiara can you wake up manuel for me please..| 7Roa3aKnFoE
_*25534 0:34 |man miss , today i do n't feel like doing anything .| 7Roa3aKnFoE
_*25535 0:40 |kara wake him up !| 7Roa3aKnFoE
_*25536 0:42 |ay ! okey fine , yo wake up dude !| 7Roa3aKnFoE
_*25537 0:45 |do n't wake me uuuupp ! !| 7Roa3aKnFoE
_*25538 0:49 |uuuuuuuuuuuuuppppp ! ! !| 7Roa3aKnFoE
_*25539 0:52 |before we get started , does any body have any questions ?| 7Roa3aKnFoE
_*25540 0:55 |yeah , i do . whats todays date ?| 7Roa3aKnFoE
_*25541 0:58 |its friday friday !| 7Roa3aKnFoE
_*25542 1:01 |thanks .| 7Roa3aKnFoE
_*25543 1:02 |how many problems on this test ?| 7Roa3aKnFoE
_*25544 1:04 |i got 99 problems on this quiz so you better fill them out correctly .| 7Roa3aKnFoE
_*25545 1:10 |if there ai n't any more questions then lets get to..| 7Roa3aKnFoE
_*25546 1:13 work 7Roa3aKnFoE
_*25547 1:13 work 7Roa3aKnFoE
_*25548 1:14 work 7Roa3aKnFoE
_*25549 1:15 |work !| 7Roa3aKnFoE
_*25550 1:16 |miss i do n't understand these instructions .| 7Roa3aKnFoE
_*25551 1:19 |thats fine .| 7Roa3aKnFoE
_*25552 1:20 |jacob can you read them out loud for us please .| 7Roa3aKnFoE
_*25553 1:23 |sure .| 7Roa3aKnFoE
_*25554 1:24 |( clears throat )| 7Roa3aKnFoE
_*25555 1:25 uuhhh.. 7Roa3aKnFoE
_*25556 1:26 |sama lamma| 7Roa3aKnFoE
_*25557 1:26 |duma lamaa| 7Roa3aKnFoE
_*25558 1:27 |you assuming| 7Roa3aKnFoE
_*25559 1:27 |i 'm a human what| 7Roa3aKnFoE
_*25560 1:28 |i got ta do to get it| 7Roa3aKnFoE
_*25561 1:28 |through to you i 'm superhuman| 7Roa3aKnFoE
_*25562 1:29 |innovative and i 'm| 7Roa3aKnFoE
_*25563 1:30 |made of rubber| 7Roa3aKnFoE
_*25564 1:30 |so that anything you saying| 7Roa3aKnFoE
_*25565 1:31 |ricocheting off| 7Roa3aKnFoE
_*25566 1:32 |of me and it 'll| 7Roa3aKnFoE
_*25567 1:32 |glue to you i 'm never stating| 7Roa3aKnFoE
_*25568 1:33 |more than never| 7Roa3aKnFoE
_*25569 1:33 demonstrating 7Roa3aKnFoE
_*25570 1:34 |how to give a| 7Roa3aKnFoE
_*25571 1:34 |muuda audience| 7Roa3aKnFoE
_*25572 1:35 |like it 's levitating| 7Roa3aKnFoE
_*25573 1:35 |never fading| 7Roa3aKnFoE
_*25574 1:36 |and i know that the| 7Roa3aKnFoE
_*25575 1:36 |haters are forever| 7Roa3aKnFoE
_*25576 1:37 |waiting for the day| 7Roa3aKnFoE
_*25577 1:38 |i fell off , they 'd| 7Roa3aKnFoE
_*25578 1:38 |be celebrating cause| 7Roa3aKnFoE
_*25579 1:39 |i know the way| 7Roa3aKnFoE
_*25580 1:40 |to get 'em motivated| 7Roa3aKnFoE
_*25581 1:40 |i make elevating music| 7Roa3aKnFoE
_*25582 1:41 |ok jacob . thank you , good job .| 7Roa3aKnFoE
_*25583 1:43 |miss i do n't feel so good ...| 7Roa3aKnFoE
_*25584 1:46 |do you need to go to the nurse ?| 7Roa3aKnFoE
_*25585 1:48 |( throws up )| 7Roa3aKnFoE
_*25586 1:49 |kids : ewwww ! ! yuck ! !| 7Roa3aKnFoE
_*25587 1:51 |whoa ! ! christian can you take jacob to the nurses office please .| 7Roa3aKnFoE
_*25588 1:55 |yeah ! !| 7Roa3aKnFoE
_*25589 1:55 |yeah !| 7Roa3aKnFoE
_*25590 1:56 |yeah !| 7Roa3aKnFoE
_*25591 1:57 |yeah !| 7Roa3aKnFoE
_*25592 1:57 |yeah !| 7Roa3aKnFoE
_*25593 1:58 |lets go ! !| 7Roa3aKnFoE
_*25594 1:59 |hey irvin can i barrow a pencil .| 7Roa3aKnFoE
_*25595 2:02 |sure .| 7Roa3aKnFoE
_*25596 2:03 |but first..| 7Roa3aKnFoE
_*25597 2:04 |let me take a selfie !| 7Roa3aKnFoE
_*25598 2:09 |let it go yeah !| 7Roa3aKnFoE
_*25599 2:10 but 7Roa3aKnFoE
_*25600 2:10 i 7Roa3aKnFoE
_*25601 2:12 hoooldddd 7Roa3aKnFoE
_*25602 2:14 |onnnnn !| 7Roa3aKnFoE
_*25603 2:18 |ok , can you just| 7Roa3aKnFoE
_*25604 2:19 |let it| 7Roa3aKnFoE
_*25605 2:20 goooooo 7Roa3aKnFoE
_*25606 2:21 |let it| 7Roa3aKnFoE
_*25607 2:22 |gooooooo !| 7Roa3aKnFoE
_*25608 2:24 |oh yeah sorry about that .| 7Roa3aKnFoE
_*25609 2:25 |miss why does she get a different test ?| 7Roa3aKnFoE
_*25610 2:27 |i 'm diffrent| 7Roa3aKnFoE
_*25611 2:29 yeah 7Roa3aKnFoE
_*25612 2:29 |i 'm diffrent| 7Roa3aKnFoE
_*25613 2:30 |she a foreign kid so she needs a different test .| 7Roa3aKnFoE
_*25614 2:33 oh 7Roa3aKnFoE
_*25615 2:34 |so she 's like ramsis ?| 7Roa3aKnFoE
_*25616 2:35 |yes , exactly .| 7Roa3aKnFoE
_*25617 2:37 |ok ramsis tell me what you see .| 7Roa3aKnFoE
_*25618 2:40 |all i see| 7Roa3aKnFoE
_*25619 2:41 |is signs| 7Roa3aKnFoE
_*25620 2:41 |all i see| 7Roa3aKnFoE
_*25621 2:42 |is dollar signs .| 7Roa3aKnFoE
_*25622 2:44 |perfect good job !| 7Roa3aKnFoE
_*25623 2:46 |whats wrong ?| 7Roa3aKnFoE
_*25624 2:47 |i needa| 7Roa3aKnFoE
_*25625 2:48 doctor.. 7Roa3aKnFoE
_*25626 2:51 |ok letisha , you do n't have a temperature .| 7Roa3aKnFoE
_*25627 2:52 |you can go ahead and go back to class .| 7Roa3aKnFoE
_*25628 2:55 k 7Roa3aKnFoE
_*25629 2:55 |k.. go ahead and go to class .| 7Roa3aKnFoE
_*25630 2:57 |who 's next ?| 7Roa3aKnFoE
_*25631 2:58 |hee hee| 7Roa3aKnFoE
_*25632 3:08 |whats wrong with him ?| 7Roa3aKnFoE
_*25633 3:09 |his palms| 7Roa3aKnFoE
_*25634 3:10 sweaty 7Roa3aKnFoE
_*25635 3:10 knees 7Roa3aKnFoE
_*25636 3:11 weak 7Roa3aKnFoE
